Sl.no,BandGap(eV),Intensity(mW/cm2),pH,Electrolyte Molarity (M), RHE bias (V vs RHE),jGB2 (Am-2),PhotocurrentDensity(mA/cm2)
86,2.11,300,13.6,1,1.23,182.8755268,18.28755268
87,2.11,300,13.6,1,1.235,183.3741803,18.33741803
88,2.11,300,13.6,1,1.24,183.8688722,18.38688722
89,2.11,300,13.6,1,1.245,184.3596643,18.43596643
90,2.11,300,13.6,1,1.25,184.8466164,18.48466164
91,2.11,300,13.6,1,1.255,185.3297872,18.53297872
92,2.11,300,13.6,1,1.26,185.8092341,18.58092341
93,2.11,300,13.6,1,1.265,186.2850131,18.62850131
94,2.11,300,13.6,1,1.27,186.7571788,18.67571788
95,2.11,300,13.6,1,1.275,187.2257847,18.72257847
96,2.11,300,13.6,1,1.28,187.6908831,18.76908831
97,2.11,300,13.6,1,1.285,188.152525,18.8152525
98,2.11,300,13.6,1,1.29,188.6107606,18.86107606
99,2.11,300,13.6,1,1.295,189.0656387,18.90656387
100,2.11,300,13.6,1,1.3,189.517207,18.9517207
101,2.11,300,13.6,1,1.305,189.9655125,18.99655125
102,2.11,300,13.6,1,1.31,190.4106008,19.04106008
103,2.11,300,13.6,1,1.315,190.8525169,19.08525169
104,2.11,300,13.6,1,1.32,191.2913046,19.12913046
105,2.11,300,13.6,1,1.325,191.7270069,19.17270069
106,2.11,300,13.6,1,1.33,192.1596657,19.21596657
107,2.11,300,13.6,1,1.335,192.5893225,19.25893225
108,2.11,300,13.6,1,1.34,193.0160174,19.30160174
109,2.11,300,13.6,1,1.345,193.4397901,19.34397901
110,2.11,300,13.6,1,1.35,193.8606793,19.38606793
111,2.11,300,13.6,1,1.355,194.2787229,19.42787229
112,2.11,300,13.6,1,1.36,194.6939582,19.46939582
113,2.11,300,13.6,1,1.365,195.1064217,19.51064217
